ID;ID_Individuo;Sample_Type;Specie;Fecha;Mes;Departamento;Municipio;Finca;sexo;Habitat
MDH01;MD62;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH02;MD63;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH03;MD64;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH04;MD65;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH05;MD66;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH06;MD67;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH07;MD68;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDH08;MD69;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH09;MD70;Swab;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH10;MD71;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDH11;MD72;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH12;MD77;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH13;MD80;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDH14;MD81;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH15;MD83;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDH16;MD84;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH17;MD85;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH18;MD90;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDH19;MD93;Swab;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDH20;MD97;Swab;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDH21;MD100;Swab;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH22;MD101;Swab;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH23;MD102;Swab;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDH24;MD107;Swab;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDH25;MD108;Swab;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDH26;MD110;Swab;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Ecotono/transici—n
MDH27;MD111;Swab;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Ecotono/transici—n
MDP01;MD62;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP02;MD63;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP03;MD64;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP04;MD65;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP05;MD66;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP06;MD67;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP07;MD68;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDP08;MD69;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP09;MD70;Feaces;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP10;MD71;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDP11;MD72;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP12;MD77;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP13;MD80;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDP14;MD81;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP15;MD83;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDP16;MD84;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP17;MD85;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP18;MD90;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDP19;MD93;Feaces;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDP20;MD97;Feaces;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDP21;MD100;Feaces;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP22;MD101;Feaces;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP23;MD102;Feaces;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDP24;MD107;Feaces;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDP25;MD108;Feaces;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDP26;MD110;Feaces;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Ecotono/transici—n
MDP27;MD111;Feaces;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Ecotono/transici—n
MDS01;MD62;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS02;MD63;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS03;MD64;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS04;MD65;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS05;MD66;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS06;MD67;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS07;MD68;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDS08;MD69;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS09;MD70;Blood;Desmodus rodontus;Julio de 2023;Julio;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS10;MD71;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDS11;MD72;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS12;MD77;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS13;MD80;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDS14;MD81;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS15;MD83;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDS16;MD84;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS17;MD85;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS18;MD90;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDS19;MD93;Blood;Desmodus rodontus;Agosto de 2023;Agosto;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDS20;MD97;Blood;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Ecotono/transici—n
MDS21;MD100;Blood;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS22;MD101;Blood;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS23;MD102;Blood;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDS24;MD107;Blood;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Macho;Interior de bosque
MDS25;MD108;Blood;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Interior de bosque
MDS26;MD110;Blood;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Ecotono/transici—n
MDS27;MD111;Blood;Desmodus rodontus;Octubre de 2023;Octubre;Casanare;Yopal;La Cienaga;Hembra;Ecotono/transici—n