	Superkingdom	Phylum	Class	Order	Family	Genus	Species
OTU01	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Alphacoronavirus AMALF
OTU02	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Alphacoronavirus sp.
OTU03	Viruses	NA	NA	NA	Anelloviridae	NA	Anelloviridae sp.
OTU04	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	NA	Bat Coronavirus MaJX20
OTU05	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Bat Hp-betacoronavirus Zhejiang2013
OTU06	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Bat associated circovirus
OTU07	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Bat circovirus
OTU08	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Bat coronavirus RacCS203
OTU09	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus
OTU10	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Circovirus bastao
OTU11	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Desmodus rotundus endogenous retrovirus
OTU12	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	NA	Hipposideros bat coronavirus
OTU13	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	NA	Hypsugopox virus
OTU14	Viruses	Peploviricota	Herviviricetes	Herpesvirales	NA	NA	Macronycteris gammaherpesvirus 1
OTU15	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 15
OTU16	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 19
OTU17	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	NA	Mogiana tick virus
OTU18	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	NA	Papillomavirus bat7808
OTU19	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Pedacovirus sp. MdGB01
OTU20	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Pteropopoxvirus	Pteropox virus
OTU21	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Rousettus bat coronavirus GCCDC1
OTU22	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus
OTU23	Viruses	NA	NA	NA	Anelloviridae	NA	Torque teno desmodus rotundus virus
OTU24	Viruses	NA	NA	NA	Anelloviridae	Xitorquevirus	Xitorquevirus molos1
OTU25	NA	NA	NA	NA	NA	NA	NA